title,original_title,description,director,producer,release_date,running_time,rt_score
Castle in the Sky,Tenkuu no Shiro Rapyuta,"A young boy and a girl with a mysterious crystal pendant race sky pirates and government agents to find a legendary floating castle.",Hayao Miyazaki,Isao Takahata,1986-08-02,124,96
Grave of the Fireflies,Hotaru no Haka,"Two siblings struggle to survive in the final months of World War II Japan after losing their home and family.",Isao Takahata,Toru Hara,1988-04-16,89,97
My Neighbor Totoro,Tonari no Totoro,"Two young sisters move to the countryside and befriend gentle forest spirits while their mother recovers from illness.",Hayao Miyazaki,Toru Hara,1988-04-16,86,94
Kiki's Delivery Service,Majo no Takkyuubin,"A young witch leaves home to spend a year living independently in a new town with her talking black cat.",Hayao Miyazaki,Hayao Miyazaki,1989-07-29,103,98
Only Yesterday,Omoide Poro Poro,"A woman on a countryside trip reflects on episodes from her childhood in 1960s Tokyo.",Isao Takahata,Toshio Suzuki,1991-07-20,118,100
Porco Rosso,Kurenai no Buta,"A cursed World War I flying ace turned bounty hunter, now with the face of a pig, battles air pirates over the Adriatic Sea.",Hayao Miyazaki,Toshio Suzuki,1992-07-18,94,95
Pom Poko,Heisei Tanuki Gassen Ponpoko,"A community of shape-shifting raccoon dogs wages a magical campaign to stop suburban development from destroying their forest home.",Isao Takahata,Toshio Suzuki,1994-07-16,119,90
Whisper of the Heart,Mimi wo Sumaseba,"A bookish teenage girl discovers a mysterious cat and a boy who inspire her to pursue her dream of becoming a writer.",Yoshifumi Kondo,Toshio Suzuki,1995-07-15,111,91
Princess Mononoke,Mononoke Hime,"A young prince cursed by a demon travels west and becomes entangled in a war between forest gods and a mining settlement.",Hayao Miyazaki,Toshio Suzuki,1997-07-12,134,93
My Neighbors the Yamadas,Houhokekyo Tonari no Yamada-kun,"A loosely connected series of comic vignettes following the everyday joys and squabbles of an ordinary Japanese family.",Isao Takahata,Toshio Suzuki,1999-07-17,104,85
Spirited Away,Sen to Chihiro no Kamikakushi,"A ten-year-old girl becomes trapped in a spirit world and must work in a bathhouse to save her parents and find her way home.",Hayao Miyazaki,Toshio Suzuki,2001-07-20,125,97
The Cat Returns,Neko no Ongaeshi,"After saving a cat prince from an oncoming truck, a teenage girl finds herself whisked away to the mysterious Cat Kingdom.",Hiroyuki Morita,Toshio Suzuki,2002-07-20,75,90
Howl's Moving Castle,Hauru no Ugoku Shiro,"A young woman cursed with old age seeks refuge in the walking castle of an enigmatic wizard rumored to devour the hearts of girls.",Hayao Miyazaki,Toshio Suzuki,2004-11-20,119,87
Tales from Earthsea,Gedo Senki,"A troubled prince and a wizard search for the cause of a growing imbalance spreading across the world of Earthsea.",Goro Miyazaki,Toshio Suzuki,2006-07-29,115,40
Ponyo,Gake no Ue no Ponyo,"A goldfish princess longs to become human after befriending a five-year-old boy who lives on a seaside cliff.",Hayao Miyazaki,Toshio Suzuki,2008-07-19,101,91
Arrietty,Karigurashi no Arrietty,"A tiny teenage girl from a family of secret miniature people forms a forbidden friendship with a boy in the house where she lives.",Hiromasa Yonebayashi,Toshio Suzuki,2010-07-17,94,95
From Up on Poppy Hill,Kokuriko-zaka Kara,"In 1963 Yokohama, a high school girl and boy work together to save their school's clubhouse and uncover a shared secret from the past.",Goro Miyazaki,Toshio Suzuki,2011-07-16,91,84
The Wind Rises,Kaze Tachinu,"A fictionalized account of the life of Jiro Horikoshi, the designer of Japanese fighter aircraft, and his dreams of flight.",Hayao Miyazaki,Toshio Suzuki,2013-07-20,126,89
The Tale of the Princess Kaguya,Kaguya-hime no Monogatari,"A tiny girl found inside a glowing bamboo stalk grows miraculously fast and is drawn into a life of courtly expectation she never wanted.",Isao Takahata,Yoshiaki Nishimura,2013-11-23,137,100
When Marnie Was There,Omoide no Marnie,"A withdrawn young girl sent to the countryside for her health forms an intense friendship with a mysterious girl living in an old mansion.",Hiromasa Yonebayashi,Yoshiaki Nishimura,2014-07-19,103,95
Earwig and the Witch,Aya to Majo,"An orphan girl with a stubborn streak is adopted by a witch and sets out to bend the rules of her strange new household to her will.",Goro Miyazaki,Toshio Suzuki,2020-12-30,82,33
The Boy and the Heron,Kimitachi wa Dou Ikiruka,"A grieving boy follows a talking grey heron into a crumbling tower and a fantastical world shared by the living and the dead.",Hayao Miyazaki,Toshio Suzuki,2023-07-14,124,96
